sl no,work,status,year,garam,work type,Total
,(1504009014/DP/17163601502247657),,,,,
16,______ _____ ___ & __ ________ _______ (___ ___ __,Completed,2009-2010,Gram Panchayat,Drought Proofing,1.1972
,(1504009014/DP/77350),,,,,
17,____ ________ ________ _______.,Completed,2009-2010,Gram Panchayat,Drought Proofing,0.82
,(1504009014/DP/90427),,,,,
18,______ ____ ________ _____ ___ ____ ____ ________.,Completed,2010-2011,Gram Panchayat,Drought Proofing,0.262
,(1504009014/DP/9051817),,,,,
19,____ _____ ______.,Completed,2009-2010,Gram Panchayat,Drought Proofing,1.94176
,(1504009014/DP/905437),,,,,
20,Chilmur to Piranagudi Raising of Plantation During,Completed,2010-2011,Gram Panchayat,Drought Proofing,0.108
,(1504009014/DP/9056398),,,,,
21,Chilmur Community Land / Road Side (Chilmur Cross To Chilmur Village),Completed,2010-2011,Gram Panchayat,Drought Proofing,0.056
,(1504009014/DP/9058089),,,,,
22,______ ______ __ _ __ 216-240 _____ _____ ____ ___,Completed,2010-2011,Gram Panchayat,Drought Proofing,2.175
,(1504009014/DP/9060451),,,,,
23,Advance Pitts Works In Comunity Land,Completed,2009-2010,Gram Panchayat,Drought Proofing,3.84814
,(1504009014/DP/906266),,,,,
24,Advance Work During,Completed,2009-2010,Gram Panchayat,Drought Proofing,0.182
,(1504009014/DP/906292),,,,,
25,"Raising 0f 4*6, 8*12, 14*20",Completed,2009-2010,Gram Panchayat,Drought Proofing,1.73578
,(1504009014/DP/906316),,,,,
26,Maintanance of older plantation at Chilmur,Completed,2010-2011,Gram Panchayat,Drought Proofing,0.151
,(1504009014/DP/906331),,,,,
27,_________ ______ _____ _____ _______.,Completed,2009-2010,Gram Panchayat,Drought Proofing,1.70314
,(1504009014/DP/917859),,,,,
28,____ _____ _______,Completed,2009-2010,Gram Panchayat,Drought Proofing,0.48544
,(1504009014/DP/917860),,,,,
29,4*6 _____ _______ ______,Completed,2009-2010,Gram Panchayat,Drought Proofing,1.08755
,(1504009014/DP/99793),,,,,
30,1504009014/FP/355,Completed,2008-2009,Gram Panchayat,Flood Control and Protection,0.3365
,(1504009014/FP/355),,,,,
31,1504009014/FP/565,Completed,2008-2009,Gram Panchayat,Flood Control and Protection,0.98416
,(1504009014/FP/565),,,,,
32,_______ ______ _______ ________ _______ ____ _____,Completed,2009-2010,Gram Panchayat,Flood Control and Protection,0.98677
,(1504009014/FP/851411),,,,,
33,______ ______ ______ _________ _______ ______ ____,Completed,2010-2011,Gram Panchayat,Flood Control and Protection,5.75295
,(1504009014/FP/9209908457),,,,,
34,_____ ___________ ______ _____ ___ _________ _____ _______ ____ ______,Completed,2015-2016,Gram Panchayat,Flood Control and Protection,7.41006
,(1504009014/FP/93393042891923617),,,,,
35,______ ______ _____ ___ _______ ______ ______ ________ ____ _______,Completed,2016-2017,Gram Panchayat,Flood Control and Protection,2.95783
,(1504009014/FP/93393042892015458),,,,,
36,______ ______ ______ ______ _______ _______ _ ______ ________ ____ _______,Completed,2016-2017,Gram Panchayat,Flood Control and Protection,2.9049
,(1504009014/FP/93393042892015459),,,,,
37,______ ______ ____ ________ ________ ________ ___.____________ ___ ___ ____ ____ _______,Completed,2016-2017,Gram Panchayat,Flood Control and Protection,2.97323
,(1504009014/FP/93393042892016098),,,,,
38,_____ ______ ________ ______ __ ____________ _________ ____ _______,Completed,2016-2017,Gram Panchayat,Flood Control and Protection,2.98047
,(1504009014/FP/93393042892016488),,,,,
39,______ __________ ________ ___ ____________ _______ _______ _________ ____ _______,Completed,2016-2017,Gram Panchayat,Flood Control and Protection,2.85211
,(1504009014/FP/93393042892018253),,,,,
40,_______ __________ _____ ____ ___ _______ _____ ______ ___ ________ _____ _______,Completed,2017-2018,Gram Panchayat,Flood Control and Protection,4.91708
,(1504009014/FP/93393042892035223),,,,,
41,______ __________ __________ ______ ______ ___ ________ _____ _______,Completed,2017-2018,Gram Panchayat,Flood Control and Protection,4.81655
,(1504009014/FP/93393042892035315),,,,,
42,______ __________ _____ _______ ___ _______ _______ ________ _____ _______,Completed,2017-2018,Gram Panchayat,Flood Control and Protection,4.73273
,(1504009014/FP/93393042892035316),,,,,
43,______ __________ ______ ____________ _______ _____ _______ ___ ________ _____ _______,Suspended,2018-2019,Gram Panchayat,Flood Control and Protection,2.04947
,(1504009014/FP/93393042892171600),,,,,
44,__________ ______ _______ ___ _______ ________ _______ ______ _________ _______ _______,Suspended,2018-2019,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892171896),,,,,
45,_____ _______ ____ ___ _______ _______ ______ _______ ___ _________ _______ ____ ______ _______.,Suspended,2018-2019,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892171898),,,,,
46,_______ _____ _______ _____ __________ _______ _______,New,2018-2019,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892171899),,,,,
47,_______ ______ _____ _________ _______ _________ ___ _________ ______ _______,Suspended,2018-2019,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892172701),,,,,
48,_______ ______ _____ __ ______ ___ _______ _______ _______ _________ ______ ____ ______ _______,New,2018-2019,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892172702),,,,,
49,_______ _____________ _______ _______ _______ _________ ________ _______ ____ ______ _______,New,2018-2019,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892172703),,,,,
50,_______ ______ ____ ________ ________ _____ _______,Completed,2018-2019,Gram Panchayat,Flood Control and Protection,4.94052
,(1504009014/FP/93393042892192800),,,,,
51,________ __________ _______ _ _______ _______ _____ __________ _____ _______,Completed,2018-2019,Gram Panchayat,Flood Control and Protection,4.85486
,(1504009014/FP/93393042892202344),,,,,
52,_______ ______ _______ ________ ________ ____ ___ _______ _______ _______ ___ ________ _____ _______,Completed,2018-2019,Gram Panchayat,Flood Control and Protection,6.18713
,(1504009014/FP/93393042892204352),,,,,
53,_______ ______ _________ ____________ _______ ________ __________ ___ ____ _____ _______,Completed,2018-2019,Gram Panchayat,Flood Control and Protection,4.80791
,(1504009014/FP/93393042892205908),,,,,
54,_______ ______ ________ _____ ___ ___ ____ ___ ____ ___ ___ ______ __________ _____ _______,Completed,2018-2019,Gram Panchayat,Flood Control and Protection,4.15094
,(1504009014/FP/93393042892206226),,,,,
55,_______ ______ ____ ________ ________ ________ _________ _____ _______,Completed,2018-2019,Gram Panchayat,Flood Control and Protection,1.23241
,(1504009014/FP/93393042892206335),,,,,
56,______ ______ _______ ________ _______ ___ _______ __________ _______ _______,Suspended,2018-2019,Gram Panchayat,Flood Control and Protection,0.70985
,(1504009014/FP/93393042892207926),,,,,
57,________ ______ ________ _____________ ___________ _____ _______,Suspended,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892210151),,,,,
58,______ ______ _______ __ _____ ___ _______ __________ _____ _______,Suspended,2019-2020,Gram Panchayat,Flood Control and Protection,1.2601
,(1504009014/FP/93393042892211158),,,,,
59,________ ______ ________ _____________ ___________ _____ _______,Suspended,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892211159),,,,,
60,_______ ______ ___ ______ ___ _______ _______ __________ ___ _____ _____ _______,Suspended,2019-2020,Gram Panchayat,Flood Control and Protection,0.99849
,(1504009014/FP/93393042892211371),,,,,
61,_______ _____ _____ ___________ ________ _____________ _____ _______,Suspended,2019-2020,Gram Panchayat,Flood Control and Protection,0.77688
,(1504009014/FP/93393042892212102),,,,,
62,_______ ______ __________ _______ _______,On Going,2019-2020,Gram Panchayat,Flood Control and Protection,2.16132
,(1504009014/FP/93393042892214496),,,,,
63,_______ ______ ______ _____ ___ _______ ________ _____ ___ ________ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892224033),,,,,
64,_______ ______ ___ _____ _________ ______ _______ ___ _________ _____ _______,Suspended,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892224034),,,,,
65,______ ______ ________ ________ _________ ________ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892224035),,,,,
66,____________ _______ ______ __________ _______ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892224036),,,,,
67,_______ ______ ____ ________ ____ _____ _________ _______ _____ __________ _____ _______,On Going,2019-2020,Gram Panchayat,Flood Control and Protection,0.15687
,(1504009014/FP/93393042892224037),,,,,
68,_______ ______ _____ ______ ________ ______ ____ _______,On Going,2019-2020,Gram Panchayat,Flood Control and Protection,1.08689
,(1504009014/FP/93393042892224038),,,,,
69,________ ______ _______ _______ _______ ________ _______ _________ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892225511),,,,,
70,________ ______ ________ _______ _______ ______ _____ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892225512),,,,,
71,___________ _______ _______ ___ _______ _______ ______ ________ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892225513),,,,,
72,___________ ________ ____ ___ _______ __________ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892225514),,,,,
73,___________ _____ ______ _______ _____ _______ ________ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892225515),,,,,
74,_______ ______ ___ _________ ______ _______ ___ _________ _____ _______,On Going,2019-2020,Gram Panchayat,Flood Control and Protection,0.29631
,(1504009014/FP/93393042892227269),,,,,
75,________ ______ _______ _______ _______ ________ _______ _________ _____ _______,On Going,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892227349),,,,,
76,________ ______ ________ _______ _______ ______ _____ _____ _______,Approved,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892227350),,,,,
77,_______ ______ __.___.___ ______ ________ ______ __ ______ ___ ________ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892227897),,,,,
78,_______ ______ _______ ____________ _____ _______ ________ __ ________ ___ _________ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892227901),,,,,
79,______ ______ ________ ____ _______ ______ _________ _____ _______,Approved,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892230757),,,,,
80,_______ ____ _______ _______ ___ _______ _______ ______ _________ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231213),,,,,
81,_______ ____ ________ ____ _______ __________ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231214),,,,,
82,___________ _____ ______ _______ _____ _______ ________ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231215),,,,,
83,___.__ ______ _________ ______ ____ ___ _________ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231351),,,,,
84,______ ______ _______ ___________ _______ _____________ ___ _____ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231557),,,,,
85,______ ______ ________ _________ __________ _____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231558),,,,,
86,______ ______ ________ _____ _______ ________ ____________ _____ _______,Approved,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231559),,,,,
87,______ ______ _____ _ _______ ___ _______ ______ ______ ___ __________ _____ _______,Approved,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231560),,,,,
88,________ ______ _____ _____ _______ ______ ____ _______,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231561),,,,,
89,_______ ______ ______ ____ ___ _______ ______ ___ __________ _____ _______,Approved,2020-2021,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892232654),,,,,
90,____________ _______ ______ __________ _______ _______,New,2020-2021,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892233686),,,,,
91,_______ ______ ______ ____ _____ ___ ________ _____ __________ _____ _______,Approved,2020-2021,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892240714),,,,,
92,_______ ______ _______ _________ ___ _______ _____ _____ _____ _______,Completed,2010-2011,Gram Panchayat,Flood Control and Protection,2.71217
,(1504009014/FP/95044),,,,,
93,_______ ______ _____ ____ _____ ________ _________,Completed,2010-2011,Gram Panchayat,Flood Control and Protection,3.92196
,(1504009014/FP/96453),,,,,
94,_______ ______ _______ ________ _______ ____ _____ _____ _______.,Completed,2010-2011,Gram Panchayat,Flood Control and Protection,2.54601
,(1504009014/FP/97795),,,,,
95,______ __________ ____ _______ ______ _____ ___ __,Completed,2011-2012,Gram Panchayat,Flood Control and Protection,0.9905
,(1504009014/FP/9945043243),,,,,
96,_______ ______ _____ ____ ______ _____ ___ ___ ___,Completed,2011-2012,Gram Panchayat,Flood Control and Protection,0.9702
,(1504009014/FP/9945045542),,,,,
97,_______ ______ _____ ________ __________ _____ ___,Completed,2011-2012,Gram Panchayat,Flood Control and Protection,0.9842
,(1504009014/FP/9945045548),,,,,
98,______ ______ ________ ____ ______ _____ _______.,Completed,2011-2012,Gram Panchayat,Flood Control and Protection,0.9775
,(1504009014/FP/9945045558),,,,,
99,_______ __________ ____ ___ _______ _____ _____ __,Completed,2011-2012,Gram Panchayat,Flood Control and Protection,2.9965
,(1504009014/FP/9945046761),,,,,
100,______ ______ ______ _________ _______ __________,Completed,2011-2012,Gram Panchayat,Flood Control and Protection,1.9591
,(1504009014/FP/9945060825),,,,,
101,Narasapur ______ _____ ___ _______ _____ _______.,Completed,2012-2013,Gram Panchayat,Flood Control and Protection,2.20342
,(1504009014/FP/9945070671),,,,,
102,________ _______ _______ ______ ______ _____ _____,Completed,2013-2014,Gram Panchayat,Flood Control and Protection,1.14681
,(1504009014/FP/9945088252),,,,,
103,____ 12__ _______ __ ____________ (1 ____ 4) ____,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.52398
,(1504009014/IC/34824),,,,,
104,____ 12__ _______ __ ____________ (5 ____ 8) ____,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.9225
,(1504009014/IC/34825),,,,,
105,_._.__.____ 31 & 32 _____ ____ _____ ____ ________,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.93726
,(1504009014/IC/34864),,,,,
106,_._.__.13 __ ___________ ____ _____ ____ _________,Completed,2008-2009,Gram Panchayat,Micro Irrigation Works,0.92988
,(1504009014/IC/34865),,,,,
107,_._.__.____ 16 _____1 & 2 _____ ____ _____ ____ _,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,1.38532
,(1504009014/IC/34866),,,,,
108,_._.__.____ 16_ ________ 2 ____ 10 ______ ____ ___,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.39032
,(1504009014/IC/34867),,,,,
109,_._.__.____ 16_ __ ______ 1 ____ 10_ _____ ____ __,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.533
,(1504009014/IC/34868),,,,,
110,_._.__. __________ 17 ____ 1 ____ 2 _ _____ ____ _,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,2.22743
,(1504009014/IC/34869),,,,,
111,_._.__. __________ 17 ____ 3_____ ____ _____ ____,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.93082
,(1504009014/IC/34870),,,,,
112,_._.__. __________ 18 ____ 1 ____ 2 _____ ____ ___,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,2.43442
,(1504009014/IC/34871),,,,,
113,_._.__. __________ 17 _ __ ______ 1 ____ 7_ _____,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.94266
,(1504009014/IC/34872),,,,,
114,_._.__. __________ 18_ __ ______ 1____ 8_ _____ __,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,1.03401
,(1504009014/IC/34873),,,,,
115,_._.__. __________ 20-21_ __ ______ ___-1_ ____ 1&,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,1.17049
,(1504009014/IC/34874),,,,,
116,_._.__. ____ ______ 20-21_ ____ 3 _____ ____ _____,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,1.22535
,(1504009014/IC/34875),,,,,
117,_._.__. ____ ______ 20-21_ __ ______ ___ -2 ____ 1,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.96865
,(1504009014/IC/34876),,,,,
118,_._.__.____ ______ 20-21 _ __ ______ ___ -2 ____ 3,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,1.68163
,(1504009014/IC/34898),,,,,
119,_._.__.____ ______ 20-21 _ __ ______ ___ -2 ____ 2,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.5822
,(1504009014/IC/34900),,,,,
120,_._.__.____ ______ 20-21 _ __ ________ _____ ____,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,2.97245
,(1504009014/IC/34901),,,,,
121,_______ ______ ____ __ 16 ____ ____________ __________ ______ ___________,New,2020-2021,Gram Panchayat,Micro Irrigation Works,0
,(1504009014/IC/93393042892233599),,,,,
122,_______ ______ ____ __ 17 ____ ______ __________ ______ ___________,New,2020-2021,Gram Panchayat,Micro Irrigation Works,0
,(1504009014/IC/93393042892233600),,,,,
123,_______ ______ ____ __ 17 _ ___1 ____ _______ _____ __________ ______ ___________,New,2020-2021,Gram Panchayat,Micro Irrigation Works,0
,(1504009014/IC/93393042892233601),,,,,
124,_______ ______ ____ __ 18 ____ __________ _______ __________ ______ ___________,New,2020-2021,Gram Panchayat,Micro Irrigation Works,0
,(1504009014/IC/93393042892233602),,,,,
125,_______ ______ ____ __ 20-21 _ ___1 ____ _________ __________ ______ ___________,New,2020-2021,Gram Panchayat,Micro Irrigation Works,0
,(1504009014/IC/93393042892233603),,,,,
126,_______ ______ ____ __ 20-21 _ ____ ___ ___________ ______ 2.5 __.__ ______ ___________,New,2020-2021,Gram Panchayat,Micro Irrigation Works,0
,(1504009014/IC/93393042892233604),,,,,
127,_______ ______ _____ ______ _____ ___ _____ ____ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/),,,,,
128,"_____ ___ ___ _______ ( ____, / ______, / _____ &",Completed,2009-2010,Gram Panchayat,Works on Individuals Land (Category IV),0.99626
,(1504009014/IF/83537),,,,,
129,_______ _____ ______ _____ _____ ____ _________ __,Completed,2010-2011,Gram Panchayat,Works on Individuals Land (Category IV),1.26
,(1504009014/IF/93393042891804548),,,,,
130,_______ ______ ________ ___ ______ ___ _________ 2,Completed,2010-2011,Gram Panchayat,Works on Individuals Land (Category IV),0.0475
,(1504009014/IF/93393042891806048),,,,,
131,______ ______ _______ ____________ ___ ________ __,Completed,2010-2011,Gram Panchayat,Works on Individuals Land (Category IV),0.285
,(1504009014/IF/93393042891810637),,,,,
132,______ ______ ______ ___ ______ _______.,Completed,2013-2014,Gram Panchayat,Works on Individuals Land (Category IV),0.34307
,(1504009014/IF/93393042891888472),,,,,
133,______ _ ___________ ___ ________ ___ ______ _______,Completed,2014-2015,Gram Panchayat,Works on Individuals Land (Category IV),0.11033
,(1504009014/IF/93393042891929234),,,,,
134,_______ __________ ______ ______ _____ ___ ________ ___ ______ _______,Completed,2014-2015,Gram Panchayat,Works on Individuals Land (Category IV),0.14975
,(1504009014/IF/93393042891929251),,,,,
135,_______ __________ _______ _ _____ ___ ___ ______ ___ ______ _______,Completed,2014-2015,Gram Panchayat,Works on Individuals Land (Category IV),0.3452
,(1504009014/IF/93393042891929256),,,,,
136,______ _______ _____ ___ ____ ______ _______,Completed,2014-2015,Gram Panchayat,Works on Individuals Land (Category IV),0.17502
,(1504009014/IF/93393042891933159),,,,,
137,______ ________ _____________ ___ ____ ___ ______ ___ ______ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.15515
,(1504009014/IF/93393042891942314),,,,,
138,_______ _______ ____ ___ ____ ___ ______ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.16191
,(1504009014/IF/93393042891942451),,,,,
139,_______ _______ ____ ___ ___ ______ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.33891
,(1504009014/IF/93393042891954627),,,,,
140,_____ _______ _____ ___ ________ ________ ______ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.14932
,(1504009014/IF/93393042891962278),,,,,
141,_______ __________ _____ ____ ______ ____ ___ ___ ______ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.32667
,(1504009014/IF/93393042891973344),,,,,
142,_______ __________ ____ _____ _______ ___ ___ ______ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.33891
,(1504009014/IF/93393042891973348),,,,,
143,_______ ______ ______ _____ _____ ___ ___ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.196
,(1504009014/IF/93393042891983207),,,,,
144,_______ ______ 2015-16_____ ______ _____ _____ ________ _____ _______ ______ ___ ___ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042891984869),,,,,
145,________ ______ ________ ________ _______ ___ ___ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042891984875),,,,,
146,__________ ______ 2015-16_____ ______ _____ _____ ________ ________ _________ _____ ___ ___ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042891984883),,,,,
147,_______ ______ 2015-16_____ ______ _____ _____ ________ ___________ ____ _____ ___ ___ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042891996151),,,,,
148,_______ ______ 2015-16_____ ______ _____ _____ ________ ________ ________ ______ ___ ___ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042891996164),,,,,
149,_______ __________ ______ ________ ____ ___ ________ ___ ______ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.08568
,(1504009014/IF/93393042891996896),,,,,
150,_______ ______ 2015-16_____ ______ _____ _____ ________ _____ ________ _____ ___ ___ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042891996910),,,,,
151,____________ 2015-16_____ ______ _____ _____ _________ ________ ________ ____ ___ ___ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042891997986),,,,,
152,______ ______ 2015-16__ _____ _____ ____ _____ ________ _______ _______ _____ ______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.19456
,(1504009014/IF/93393042892000973),,,,,
153,______ ______ 2015-16_____ ______ _____ _____ ________ _______ ____ ______ ____________ ___ ___ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.12848
,(1504009014/IF/93393042892001238),,,,,
154,______ ______ 2015-16_____ ______ _____ _____ ________ _______ ____ ______ ____ ___ ___ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042892001240),,,,,
155,_______ __________ ________ ______ ____ ___ ________ ____ ____ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.34272
,(1504009014/IF/93393042892004442),,,,,
156,_______ __________ ______ _. ____ ___ ________ ____ ____ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.29376
,(1504009014/IF/93393042892004448),,,,,
157,_______ ______ ___________ ___________ ______ ___ ___ ______ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.14569
,(1504009014/IF/93393042892005538),,,,,
158,______ __________ _______ _______ _______ ___ ___ ______ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.15897
,(1504009014/IF/93393042892007813),,,,,
159,_______ ______ _____ _______ _______ ___ ___ ______ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.08568
,(1504009014/IF/93393042892010564),,,,,
160,______ ______ 2015-16_____ ______ _____ _____ ________ ______ _______ ____ ___ ___ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.17216
,(1504009014/IF/93393042892012861),,,,,
161,______ __________ ________ _____ _______ ___ ___ ______ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.14623
,(1504009014/IF/93393042892012871),,,,,
162,_______ ______ 2015-16__ _____ _____ ____ ________ ______ _____ ____ ___ ___ _______,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.05712
,(1504009014/IF/93393042892017953),,,,,
163,______ ______ ______ ______ ______ ___ _________ ________ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.09408
,(1504009014/IF/93393042892034582),,,,,
164,______ ______ _______ _________ __________ ___ ________ ________ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.08064
,(1504009014/IF/93393042892034611),,,,,
